Il grasso è insano, fumare è insano	Il grasso è insano, fumare è insano <hr />  Fett&nbsp;ist ungesund, rauchen ist ungesund 
"Se ti prendi davvero cura di questa macchina, durerà un altro paio d'anni."	"Se ti prendi davvero cura di questa macchina, durerà un altro paio d'anni. <hr />  Wenn du das&nbsp;Auto&nbsp;gut pflegst, hält es noch ein&nbsp;paar&nbsp;Jahre. "
Tutti i lati di un dado sono grandi uguali	Tutti i lati di un dado sono grandi uguali <hr />  Alle Seiten eines Würfels sind gleich groß. 
sedere <u>al</u> bar	sedere <u>al</u> bar <hr />  <u>an</u> der&nbsp;Bar&nbsp;sitzen<br><br>♀ die Bar<br>an + dativ = posizione 
Il cestino è pieno di plastica	Il cestino è pieno di plastica <hr />  Der Abfalleimer ist voll mit Plastik 
"Potremmo magari dare priorità a questo punto all'ordine del giorno?"	"Potremmo magari dare priorità a questo punto all'ordine del giorno? <hr />  Könnten wir diesen Tagesordnungspunkt vielleicht vorziehen? "
Si è lamentato con il capo con successo	Si è lamentato con il capo con successo <hr />  Er hat sich erfolgreich beim&nbsp;Chef&nbsp;beschwert 
Il tempo ci sfugge	"Il tempo ci sfugge <hr />  Die Zeit&nbsp;läuft&nbsp;uns&nbsp;weg<br><br><span style=""color: rgb(51, 51, 51);"">♀ die Zeit</span> "
Vorrei lamentarmi della qualità degli amplificatori	"Vorrei lamentarmi della qualità degli amplificatori <hr />  Ich möchte mich über die Qualität der Verstärker beschweren<br><br><span style=""color: rgb(51, 51, 51);"">♀ die&nbsp;</span>Qualität "
Sacher con panna montata	Sacher con panna montata <hr />  Sachertorte mit Schlag&nbsp; 
"in caso di maltempo l'evento non si svolgerà all'esterno, ma all'interno"	"in caso di maltempo l'evento non si svolgerà all'esterno, ma all'interno <hr />  bei schlechtem Wetter wird die Veranstaltung nicht draußen, sondern drinnen stattfinden "
"Gli eventi hanno obiettivi diversi , da cui derivano il ""design dell'evento"" e la forma dell'evento"	"Gli eventi hanno obiettivi diversi , da cui derivano il ""design dell'evento"" e la forma dell'evento <hr />  Veranstaltungen haben unterschiedliche Ziele, aus denen sich das „Veranstaltungsdesign“ und die Veranstaltungsform ableitet<br><br><span style=""color: rgb(51, 51, 51);"">♀ die Form<br></span>☯ das Design "
"L'ho trovato (il film) piuttosto lungo, per non dire noioso"	"L'ho trovato (il film) piuttosto lungo, per non dire noioso <hr />  Ich habe ihn ziemlich lang gefunden, um nicht zu sagen langweilig "
"<img src=""Frame 1.png"">"	"<img src=""Frame 1.png""> <hr />  &nbsp;☯ das Waschbecken "
"<img src=""image 2.png"">"	"<img src=""image 2.png""> <hr />  der&nbsp;Staubsauger "
Quando è arrivato a casa sua moglie stava cucinando	Quando è arrivato a casa sua moglie stava cucinando <hr />  Seine Frau war beim Kochen, als er zu Hause angekommen ist<br><br>beim + verbo sostantivato = gerundio 
Il pollo è cotto	Il pollo è cotto <hr />  Das Hähnchen ist&nbsp;gekocht 
Ho corso	Ho corso <hr />  Ich bin gelaufen 
Ho avuto un sogno terribile	Ho avuto un sogno terribile <hr />  Ich hatte einen&nbsp;schrecklichen&nbsp;Traum 
Mi ha dato la sensazione come se qualcosa lì fosse terribilmente fuori controllo.	Mi ha dato la sensazione come se qualcosa lì fosse terribilmente fuori controllo. <hr />  Es gab mir das Gefühl, daß da etwas schrecklich außer Kontrolle ist.<br><br>☯ das Gefühl: la sensazione 
"Io odio l'aceto sulle patate (fritte)"	"Io odio l'aceto sulle patate (fritte) <hr />  Ich hasse Essig auf Pommes "
Sto uscendo	Sto uscendo <hr />  Ich komme raus 
Maria porta la spazzatura fuori	Maria porta la spazzatura fuori <hr />  Maria bringt den Müll raus 
il cortile	il cortile <hr />  der Hof 
Nome del sistema di vuoto a rendere delle bottiglie a Berlino	Nome del sistema di vuoto a rendere delle bottiglie a Berlino <hr />  Das Flaschenpfand 
"Il deterioramento dell'ambiente&nbsp;sta certamente continuando a ritmo elevato."	"Il deterioramento dell'ambiente&nbsp;sta certamente continuando a ritmo elevato. <hr />  Die Verschlechterung der&nbsp;Umwelt&nbsp;steigt rapide an.<br><br>♀ die Umwelt "
"foglie cadute per terra<br><img alt=""Laub – Wiktionary"" src=""1200px-Fallen_autumn_leaves_with_Orton_effect.jpg"" width=""364"">"	"foglie cadute per terra<br><img alt=""Laub – Wiktionary"" src=""1200px-Fallen_autumn_leaves_with_Orton_effect.jpg"" width=""364""> <hr />  das Laub "
Mi lavo i denti	Mi lavo i denti <hr />  Ich putze meine Zähne&nbsp;<br>OR Ich putze mir die Zähne 
Lea è stata ospsitale con me	Lea è stata ospsitale con me <hr />  Lea war gastfreundlich zu mir 
"Mittags vs am Mittage, ricordando l'esempio ""A pranzo vado sempre al bar all'angolo"""	"Mittags vs am Mittage, ricordando l'esempio ""A pranzo vado sempre al bar all'angolo"" <hr />  Mittags per azioni che si ripetono con regolarità:<br><ul><li>Mittags gehe ich immer in das Café an der Ecke (all'angolo)</li></ul>Am Mittag per un azione che non si ripete:<br><ul><li>Am Mittag gehe ich in das Café an der Ecke (ci vai solo oggi)</li></ul> "
la mattina	la mattina <hr />  der Vormittag 
"l'altro ieri"	"l'altro ieri <hr />  vorgestern "
dopodomani	dopodomani <hr />  übermorgen 
mai	mai <hr />  niemals 
quasi mai	quasi mai <hr />  fast nie 
hier vs da vs dort	hier vs da vs dort <hr />  hier: qui<br>da: lì&nbsp;<br>dort: lì ma ad una distanza superiore<br><br>in pratica da e dort sono intercambiabili 
